run_id,metrics.static_time,metrics.move_count,params.poly_order,params.window_len,params.max_velocity
4f68f36cac5140689fa6eaafbbcaa249,3.6333333333333333,6.0,3,7,30.0
71288e69b67d4a9b9c0416c84098b8bf,2.8666666666666667,7.0,3,5,30.0
9a45f2d642cc40948fbd77b584d2e5d2,3.6333333333333333,6.0,2,7,30.0
388efc9bb0a54e1981f03c063c77367e,3.933333333333333,7.0,2,11,30.0
d894626e477948968b060e3f2581256a,2.8666666666666667,7.0,2,5,30.0
160eb1e5f110446b81cbd50e4f125213,3.933333333333333,7.0,3,11,30.0
b7b8baa348a847af96ae87410d4566ce,3.6,8.0,3,7,50.0
08fb2899a8c64b82ace08316d5ed32ac,3.033333333333333,7.0,2,5,50.0
073c7873821342109dd3ac7b4c8666c0,3.6,8.0,2,7,50.0
bdbddb28e1014b748d2358336285cc58,3.033333333333333,7.0,3,5,50.0
6c7a6d3890314a7887ef98c1a9f03f1f,3.7666666666666666,8.0,3,11,50.0
f13f4bd215f64e829523de027851e5ef,3.7666666666666666,8.0,2,11,50.0
10dbfcb8aed0424f9ce65af2f48317fb,3.7333333333333334,8.0,2,11,80.0
cbd98217a08948bfa6832ba1749a38c8,2.9,8.0,3,7,80.0
06b9c5bd723e46aaa8c3bbf907f98720,2.9,8.0,2,7,80.0
e7a1d60820524f53ace7416593d01144,2.4,8.0,3,5,80.0
c0f4ece6f77b4192bb002cf419efb2e2,2.4,8.0,2,5,80.0
6924e472cb4e4dba918e9ddf588187e4,3.7333333333333334,8.0,3,11,80.0
